ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_WA28_L	10	2.83	385.05	41.68	4.65	2.9777749	0.1987746	1.8558691	2.4556738	2.8033646
FG_WA48_L	8.33	1	289.84	37.43	3.45	1.6603063	-1.452461	0.9186227	1.8709714	-1.960591
FG_WA48_R	8.33	1	289.84	37.43	3.45	1.6603063	-1.452461	0.9186227	1.8709714	-1.960591
FG_WA53_R	10.67	3.5	317.08	43.47	3.62	3.5063401	0.8033254	1.186773	2.7019367	-1.285697
LG_AC01_L	6.6	3.2	165.04	20.82	4.31	0.2955036	0.532631	-0.309908	-0.414183	1.4535772
LG_AC01_R	6.6	3.2	165.04	20.82	4.31	0.2955036	0.532631	-0.309908	-0.414183	1.4535772
LG_AC02_L	6	4.4	173.6	20.58	4.13	-0.177838	1.6154085	-0.225643	-0.447202	0.7389839
LG_AC02_R	6	4.4	173.6	20.58	4.13	-0.177838	1.6154085	-0.225643	-0.447202	0.7389839
LG_AC03_L	4.2	2	174.02	16.54	4.13	-1.597864	-0.550147	-0.221508	-1.003013	0.7389839
LG_AC03_R	4.2	2	174.02	16.54	4.13	-1.597864	-0.550147	-0.221508	-1.003013	0.7389839
LG_AC04_L	4.8	1	151.82	14.36	3.96	-1.124522	-1.452461	-0.440045	-1.302931	0.0640902
LG_AC04_R	4.8	1	151.82	14.36	3.96	-1.124522	-1.452461	-0.440045	-1.302931	0.0640902
